Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","56592","London","Westminster","A202","PU","530100","178200","A3212","LA Boundary","0.12","101","111","1922","63","320","113","9","2","4","4","4","137","2554"
"2000","56625","London","Westminster","A40","PU","528000","181020","Marble Arch","A41 Portman St","0.18","61","45","948","258","117","28","2","1","3","1","1","35","1403"
"2000","56890","London","Westminster","A302","PU","530000","179550","Bressenden Place","Parliament Square","0.74","337","314","5853","575","952","144","10","5","5","0","1","165","7859"
"2000","57536","London","Westminster","A302","PU","528947","179161","Wilton Rd/Vauxhall Bridge Rd","Buckingham Palace Rd","0.12","5","16","567","74","108","16","2","2","1","0","0","21","787"
"2000","57537","London","Westminster","A501","PU","527862","181939","A41","A41","0.12","39","195","3031","71","425","140","10","9","9","7","9","184","3906"
"2000","57910","London","Westminster","A202","PU","529040","178950","Vauxhall Bridge Rd","Victoria St/Vauxhall Bridge Rd","0.18","43","87","1248","59","175","60","3","2","1","1","1","69","1638"
"2000","58136","London","Westminster","A4","PU","529750","180380","Waterloo Pl","Cockspur St","0.06","20","80","443","47","91","31","2","1","0","0","0","33","694"
"2000","58172","London","Westminster","A202","PU","529621","178557","Wilton Rd","A3213","0.62","219","246","4720","246","855","139","15","11","8","8","10","191","6258"
"2000","58173","London","Westminster","A4206","PU","526760","181690","Bishop's Bridge Rd roundabout","Edgware Rd","0.37","112","138","2353","66","482","99","24","5","4","1","1","134","3172"
"2000","70181","London","Westminster","A40","PU","526950","181700","A4206","A5/A501","0.12","26","182","2708","29","440","116","13","12","3","4","2","149","3509"
"2000","70190","London","Westminster","A4201","PU","529080","181350","A40","A5204","0.15","50","37","307","0","46","5","0","0","0","0","0","5","396"
"2000","70191","London","Westminster","A5204","PU","529000","181480","A4201 Langham Place","A4201 Great Portland St","0.06","40","57","253","1","44","14","1","0","0","0","0","15","370"
"2000","70192","London","Westminster","A400","PU","530250","180330","Trafalgar Sq","A3211","0.24","55","164","2614","63","276","46","5","8","1","1","0","62","3179"
"2000","73225","London","Westminster","A4200","PU","530697","181140","A4","LA Boundary","0.12","58","109","1010","76","181","30","2","1","0","0","0","34","1454"
"2000","74971","London","Westminster","A302","PU","528737","179285","Buckingham Palace Rd/Victoria St","lower Grosvenor Place","0.16","45","46","1588","109","211","46","5","3","3","2","1","61","2015"
"2000","74972","London","Westminster","A5","PU","527100","181660","A40","Praed St","0.06","44","29","664","36","57","11","2","1","0","0","1","16","802"
"2000","74973","London","Westminster","A41","PU","528050","181300","Gloucester Place","Baker St","0.12","14","15","257","3","21","4","0","0","0","0","0","4","299"
"2000","74974","London","Westminster","A41","PU","527900","181810","Gloucester Place","Baker St","0.12","1","4","95","2","16","8","0","0","0","0","0","8","125"
"2000","74975","London","Westminster","A41","PU","528000","181230","Seymour St","Portman Sq (north)","0.06","18","21","374","37","45","8","1","1","1","0","0","11","487"
"2000","74976","London","Westminster","A41","PU","528130","181300","Portman Sq (north)","Wigmore St","0.06","8","21","282","23","41","7","1","0","0","0","0","9","376"
"2000","74977","London","Westminster","A41","PU","527800","181860","York St","Marylebone Rd","0.06","18","21","374","37","45","8","1","1","1","0","0","11","487"
"2000","74978","London","Westminster","A41","PU","527950","181900","Marylebone Rd","York St","0.06","8","21","282","23","41","7","1","0","0","0","0","9","376"
"2000","81119","London","Westminster","A301","PU","530640","180950","A301","LA Boundary","0.43","11","160","1861","13","252","14","0","0","1","0","0","16","2153"
"2001","6119","London","Westminster","A4","PU","531060","181090","Aldwych","LA Boundary","0.18","151","177","1511","115","169","22","1","0","0","0","0","24","1996"
"2001","6120","London","Westminster","A4","PU","528900","180220","Hyde Park Corner","St James St","0.55","198","846","7531","342","1043","201","17","6","3","2","0","230","9992"
"2001","6152","London","Westminster","A5","PU","527500","181240","Sussex Gdns","Seymour St","0.37","218","237","3461","213","681","210","17","11","7","4","4","253","4845"
"2001","6426","London","Westminster","A40","PU","528500","181100","Orchard St","Regent St","0.49","206","44","695","695","58","13","2","0","0","0","0","15","1508"
"2001","6459","London","Westminster","A41","PU","528000","181700","York St","Portman Sq (north)","0.31","39","116","1316","116","207","33","3","2","1","1","1","41","1797"
"2001","6896","London","Westminster","A315","PU","527000","179700","LA Boundary","A4/A3216","1.05","371","1345","8732","314","953","480","14","9","1","1","0","506","11850"
"2001","7603","London","Westminster","A3212","PU","530200","179300","A3203","Parliament Square","0.43","397","689","2942","209","628","141","12","6","2","2","2","164","4632"
"2001","7672","London","Westminster","A4201","PU","528800","181700","A5204","A501","0.49","116","271","2996","62","383","57","6","3","3","0","0","68","3780"
"2001","7934","London","Westminster","A3214","PU","528600","178600","B302","A3213","0.55","160","201","1775","138","232","133","119","4","0","1","0","257","2603"
"2001","8083","London","Westminster","A41","PU","527410","182550","A41","A5205","0.43","39","148","3824","200","421","59","7","5","6","3","2","82","4674"
